06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:05.793 - oc_logger - INFO - Function evaluation number: 43, SI: 2, Sub-iteration number: 0, FoM: 0.2971148733590536
06/04/2022 11:54:05.911 - oc_logger - INFO - Function evaluation number: 44, SI: 2, Sub-iteration number: 0, FoM: 0.29711523403075524
06/04/2022 11:54:06.026 - oc_logger - INFO - Function evaluation number: 45, SI: 2, Sub-iteration number: 0, FoM: 0.29711481934019246
06/04/2022 11:54:06.137 - oc_logger - INFO - Function evaluation number: 46, SI: 2, Sub-iteration number: 0, FoM: 0.29711480855508143
06/04/2022 11:54:06.251 - oc_logger - INFO - Function evaluation number: 47, SI: 2, Sub-iteration number: 0, FoM: 0.29711485203450394
06/04/2022 11:54:06.377 - oc_logger - INFO - Function evaluation number: 48, SI: 2, Sub-iteration number: 0, FoM: 0.2971147915427581
06/04/2022 11:54:06.510 - oc_logger - INFO - Function evaluation number: 49, SI: 2, Sub-iteration number: 0, FoM: 0.2971147988581959
06/04/2022 11:54:06.641 - oc_logger - INFO - Function evaluation number: 50, SI: 2, Sub-iteration number: 1, FoM: 0.29711518875023346
06/04/2022 11:54:06.762 - oc_logger - INFO - Function evaluation number: 51, SI: 2, Sub-iteration number: 1, FoM: 0.2971149594996101
06/04/2022 11:54:06.888 - oc_logger - INFO - Function evaluation number: 52, SI: 2, Sub-iteration number: 2, FoM: 0.29711517493917106
06/04/2022 11:54:07.015 - oc_logger - INFO - Function evaluation number: 53, SI: 2, Sub-iteration number: 2, FoM: 0.29711485703827445
06/04/2022 11:54:07.140 - oc_logger - INFO - Function evaluation number: 54, SI: 2, Sub-iteration number: 3, FoM: 0.29711494988882636
06/04/2022 11:54:07.263 - oc_logger - INFO - Function evaluation number: 55, SI: 2, Sub-iteration number: 3, FoM: 0.2971148499336793
06/04/2022 11:54:07.389 - oc_logger - INFO - Function evaluation number: 56, SI: 2, Sub-iteration number: 4, FoM: 0.29711483919475024
06/04/2022 11:54:07.507 - oc_logger - INFO - Function evaluation number: 57, SI: 2, Sub-iteration number: 5, FoM: 0.29711494334543853
06/04/2022 11:54:07.629 - oc_logger - INFO - Function evaluation number: 58, SI: 2, Sub-iteration number: 5, FoM: 0.2971147978361586
06/04/2022 11:54:07.757 - oc_logger - INFO - Function evaluation number: 59, SI: 2, Sub-iteration number: 6, FoM: 0.29711482000668354
06/04/2022 11:54:07.884 - oc_logger - INFO - Function evaluation number: 60, SI: 2, Sub-iteration number: 7, FoM: 0.29711486910757934
06/04/2022 11:54:08.006 - oc_logger - INFO - Function evaluation number: 61, SI: 2, Sub-iteration number: 7, FoM: 0.29711479838724153
06/04/2022 11:54:08.132 - oc_logger - INFO - Function evaluation number: 62, SI: 2, Sub-iteration number: 8, FoM: 0.29711491645970045
06/04/2022 11:54:08.254 - oc_logger - INFO - Function evaluation number: 63, SI: 2, Sub-iteration number: 8, FoM: 0.2971147884918486
06/04/2022 11:54:08.376 - oc_logger - INFO - Function evaluation number: 64, SI: 2, Sub-iteration number: 9, FoM: 0.29711485222705913
06/04/2022 11:54:08.502 - oc_logger - INFO - Function evaluation number: 65, SI: 2, Sub-iteration number: 9, FoM: 0.29711478350247034
06/04/2022 11:54:08.651 - oc_logger - INFO - Function evaluation number: 66, SI: 2, Sub-iteration number: 10, FoM: 0.29711481644076365
06/04/2022 11:54:08.780 - oc_logger - INFO - Function evaluation number: 67, SI: 2, Sub-iteration number: 10, FoM: 0.29711478406997416
06/04/2022 11:54:08.904 - oc_logger - INFO - Function evaluation number: 68, SI: 2, Sub-iteration number: 11, FoM: 0.29711485140019334
06/04/2022 11:54:09.023 - oc_logger - INFO - Function evaluation number: 69, SI: 2, Sub-iteration number: 11, FoM: 0.2971147769674535
06/04/2022 11:54:09.143 - oc_logger - INFO - Function evaluation number: 70, SI: 2, Sub-iteration number: 12, FoM: 0.29711484870655047
06/04/2022 11:54:09.269 - oc_logger - INFO - Function evaluation number: 71, SI: 2, Sub-iteration number: 12, FoM: 0.2971147720252474
06/04/2022 11:54:09.392 - oc_logger - INFO - Function evaluation number: 72, SI: 2, Sub-iteration number: 13, FoM: 0.2971147796056246
06/04/2022 11:54:09.517 - oc_logger - INFO - Function evaluation number: 73, SI: 2, Sub-iteration number: 14, FoM: 0.2971148126901687
